

Meter Model Name,Meter SN,Meter IP Address,Meter MAC Address,Device Name,Device Local ID,Device Type ID,Device Type Name,Logging Interval,,Log File Status
PM5560,600097794,169.254.0.10,0:80:67:88:9D:30,PM55-#0600097794,1,13,PM5500,1,,0

,,,Topic ID1,Topic ID2,Topic ID3,Topic ID4,Topic ID5,Topic ID6,Topic ID7,Topic ID8,Topic ID9,Topic ID10,Topic ID11,Topic ID12,Topic ID13,Topic ID14
,,,64145,64149,1042,64160,64161,1050,1008,1034,64153,64157,1046,1014,1015,1017

Status,,Local Time Stamp,Active Energy Delivered (KWh),Active Energy Received (KWh),Active Power Total,Apparent Energy Delivered (KVAh),Apparent Energy Received (KVAh),Apparent Power Total,Current Average,Power Factor Total,Reactive Energy Delivered (KVARh),Reactive Energy Received (KVARh),Reactive Power Total,Voltage A-B,Voltage B-C,Voltage L-L
0,,2020-3-7 00:25,0,0,0,0,0,0,0,-4194304,0,0,0,1116923524,0,1111748412
0,,2020-3-7 00:26,0,0,0,0,0,0,0,-4194304,0,0,0,1116932002,0,1111759573
0,,2020-3-7 00:27,0,0,0,0,0,0,0,-4194304,0,0,0,1116923262,0,1111748019
0,,2020-3-7 00:28,0,0,0,0,0,0,0,-4194304,0,0,0,1116930598,0,1111757685
0,,2020-3-7 00:29,0,0,0,0,0,0,0,-4194304,0,0,0,1116939778,0,1111770045
0,,2020-3-7 00:30,0,0,0,0,0,0,0,-4194304,0,0,0,1116943216,0,1111774653
0,,2020-3-7 00:31,0,0,0,0,0,0,0,-4194304,0,0,0,1116940835,0,1111771421
0,,2020-3-7 00:32,0,0,0,0,0,0,0,-4194304,0,0,0,1116939160,0,1111769288
0,,2020-3-7 00:33,0,0,0,0,0,0,0,-4194304,0,0,0,1116940294,0,1111770648
0,,2020-3-7 00:34,0,0,0,0,0,0,0,-4194304,0,0,0,1116933722,0,1111761836
0,,2020-3-7 00:35,0,0,0,0,0,0,0,-4194304,0,0,0,1116931947,0,1111759545
0,,2020-3-7 00:36,0,0,0,0,0,0,0,-4194304,0,0,0,1116918375,0,1111741437
0,,2020-3-7 00:37,0,0,0,0,0,0,0,-4194304,0,0,0,1116936203,0,1111765331
0,,2020-3-7 00:38,0,0,0,0,0,0,0,-4194304,0,0,0,1116913509,0,1111735776
0,,2020-3-7 00:39,0,0,0,0,0,0,0,-4194304,0,0,0,1116930946,0,1111758176
0,,2020-3-7 00:40,0,0,0,0,0,0,0,-4194304,0,0,0,1116919728,0,1111743361
0,,2020-3-7 00:41,0,0,0,0,0,0,0,-4194304,0,0,0,1116921002,0,1111745357
0,,2020-3-7 00:42,0,0,0,0,0,0,0,-4194304,0,0,0,1116928911,0,1111755797
0,,2020-3-7 00:43,0,0,0,0,0,0,0,-4194304,0,0,0,1116927755,0,1111754352
0,,2020-3-7 00:44,0,0,0,0,0,0,0,-4194304,0,0,0,1116927938,0,1111754553
0,,2020-3-7 00:45,0,0,0,0,0,0,0,-4194304,0,0,0,1116920427,0,1111744352
0,,2020-3-7 00:46,0,0,0,0,0,0,0,-4194304,0,0,0,1116935390,0,1111764456
0,,2020-3-7 00:47,0,0,0,0,0,0,0,-4194304,0,0,0,1116923228,0,1111748272
0,,2020-3-7 00:48,0,0,0,0,0,0,0,-4194304,0,0,0,1116937821,0,1111767571
0,,2020-3-7 00:49,0,0,0,0,0,0,0,-4194304,0,0,0,1116933476,0,1111762005
0,,2020-3-7 00:50,0,0,0,0,0,0,0,-4194304,0,0,0,1116934527,0,1111763272
0,,2020-3-7 00:51,0,0,0,0,0,0,0,-4194304,0,0,0,1116931410,0,1111759341
0,,2020-3-7 00:52,0,0,0,0,0,0,0,-4194304,0,0,0,1116940094,0,1111770740
0,,2020-3-7 00:53,0,0,0,0,0,0,0,-4194304,0,0,0,1116931908,0,1111759957
0,,2020-3-7 00:54,0,0,0,0,0,0,0,-4194304,0,0,0,1116934510,0,1111763229
0,,2020-3-7 00:55,0,0,0,0,0,0,0,-4194304,0,0,0,1116924414,0,1111749865
0,,2020-3-7 00:56,0,0,0,0,0,0,0,-4194304,0,0,0,1116930009,0,1111757436
0,,2020-3-7 00:57,0,0,0,0,0,0,0,-4194304,0,0,0,1116933852,0,1111762325
0,,2020-3-7 00:58,0,0,0,0,0,0,0,-4194304,0,0,0,1116925726,0,1111751528
0,,2020-3-7 00:59,0,0,0,0,0,0,0,-4194304,0,0,0,1116925197,0,1111750664
0,,2020-3-7 01:00,0,0,0,0,0,0,0,-4194304,0,0,0,1116925305,0,1111750776
0,,2020-3-7 01:01,0,0,0,0,0,0,0,-4194304,0,0,0,1116917680,0,1111740825
0,,2020-3-7 01:02,0,0,0,0,0,0,0,-4194304,0,0,0,1116937034,0,1111766565
0,,2020-3-7 01:03,0,0,0,0,0,0,0,-4194304,0,0,0,1116927153,0,1111753341
0,,2020-3-7 01:04,0,0,0,0,0,0,0,-4194304,0,0,0,1116928354,0,1111754959
0,,2020-3-7 01:05,0,0,0,0,0,0,0,-4194304,0,0,0,1116926995,0,1111753187
0,,2020-3-7 01:06,0,0,0,0,0,0,0,-4194304,0,0,0,1116926623,0,1111752683
0,,2020-3-7 01:07,0,0,0,0,0,0,0,-4194304,0,0,0,1116935336,0,1111764243
0,,2020-3-7 01:08,0,0,0,0,0,0,0,-4194304,0,0,0,1116917579,0,1111740485
0,,2020-3-7 01:09,0,0,0,0,0,0,0,-4194304,0,0,0,1116915054,0,1111736952
0,,2020-3-7 01:10,0,0,0,0,0,0,0,-4194304,0,0,0,1116916050,0,1111738447
0,,2020-3-7 01:11,0,0,0,0,0,0,0,-4194304,0,0,0,1116922439,0,1111746984
0,,2020-3-7 01:12,0,0,0,0,0,0,0,-4194304,0,0,0,1116921070,0,1111745227
0,,2020-3-7 01:13,0,0,0,0,0,0,0,-4194304,0,0,0,1116927521,0,1111753987
0,,2020-3-7 01:14,0,0,0,0,0,0,0,-4194304,0,0,0,1116928237,0,1111754615
0,,2020-3-7 01:15,0,0,0,0,0,0,0,-4194304,0,0,0,1116923979,0,1111749136
0,,2020-3-7 01:16,0,0,0,0,0,0,0,-4194304,0,0,0,1116918474,0,1111741764
0,,2020-3-7 01:17,0,0,0,0,0,0,0,-4194304,0,0,0,1116914633,0,1111736555
0,,2020-3-7 01:18,0,0,0,0,0,0,0,-4194304,0,0,0,1116914887,0,1111736869
0,,2020-3-7 01:19,0,0,0,0,0,0,0,-4194304,0,0,0,1116918540,0,1111741613
0,,2020-3-7 01:20,0,0,0,0,0,0,0,-4194304,0,0,0,1116923011,0,1111747816
0,,2020-3-7 01:21,0,0,0,0,0,0,0,-4194304,0,0,0,1116926561,0,1111752373
0,,2020-3-7 01:22,0,0,0,0,0,0,0,-4194304,0,0,0,1116912670,0,1111733877
0,,2020-3-7 01:23,0,0,0,0,0,0,0,-4194304,0,0,0,1116923868,0,1111748893
0,,2020-3-7 01:24,0,0,0,0,0,0,0,-4194304,0,0,0,1116921607,0,1111745773
0,,2020-3-7 01:25,0,0,0,0,0,0,0,-4194304,0,0,0,1116930420,0,1111757745
0,,2020-3-7 01:26,0,0,0,0,0,0,0,-4194304,0,0,0,1116922570,0,1111747155
0,,2020-3-7 01:27,0,0,0,0,0,0,0,-4194304,0,0,0,1116911807,0,1111732984
0,,2020-3-7 01:28,0,0,0,0,0,0,0,-4194304,0,0,0,1116925296,0,1111750821
0,,2020-3-7 01:29,0,0,0,0,0,0,0,-4194304,0,0,0,1116933212,0,1111761515
0,,2020-3-7 01:30,0,0,0,0,0,0,0,-4194304,0,0,0,1116928843,0,1111755728
0,,2020-3-7 01:31,0,0,0,0,0,0,0,-4194304,0,0,0,1116942118,0,1111773452
0,,2020-3-7 01:32,0,0,0,0,0,0,0,-4194304,0,0,0,1116945553,0,1111777880
0,,2020-3-7 01:33,0,0,0,0,0,0,0,-4194304,0,0,0,1116949461,0,1111783333
0,,2020-3-7 01:34,0,0,0,0,0,0,0,-4194304,0,0,0,1116940214,0,1111770941
0,,2020-3-7 01:35,0,0,0,0,0,0,0,-4194304,0,0,0,1116941051,0,1111771989
0,,2020-3-7 01:36,0,0,0,0,0,0,0,-4194304,0,0,0,1116949196,0,1111782621
0,,2020-3-7 01:37,0,0,0,0,0,0,0,-4194304,0,0,0,1116942486,0,1111773445
0,,2020-3-7 01:38,0,0,0,0,0,0,0,-4194304,0,0,0,1116951108,0,1111785203
0,,2020-3-7 01:39,0,0,0,0,0,0,0,-4194304,0,0,0,1116941272,0,1111772000
0,,2020-3-7 01:40,0,0,0,0,0,0,0,-4194304,0,0,0,1116944875,0,1111776968
0,,2020-3-7 01:41,0,0,0,0,0,0,0,-4194304,0,0,0,1116936651,0,1111765869
0,,2020-3-7 01:42,0,0,0,0,0,0,0,-4194304,0,0,0,1116931767,0,1111759435
0,,2020-3-7 01:43,0,0,0,0,0,0,0,-4194304,0,0,0,1116940427,0,1111770888
0,,2020-3-7 01:44,0,0,0,0,0,0,0,-4194304,0,0,0,1116939827,0,1111770105
0,,2020-3-7 01:45,0,0,0,0,0,0,0,-4194304,0,0,0,1116930052,0,1111757276
0,,2020-3-7 01:46,0,0,0,0,0,0,0,-4194304,0,0,0,1116937724,0,1111767381
0,,2020-3-7 01:47,0,0,0,0,0,0,0,-4194304,0,0,0,1116933071,0,1111761013
0,,2020-3-7 01:48,0,0,0,0,0,0,0,-4194304,0,0,0,1116928160,0,1111754496
0,,2020-3-7 01:49,0,0,0,0,0,0,0,-4194304,0,0,0,1116939438,0,1111769513
